AnimeId,Name,Genres,Type,Episodes,Score,Members,Studios,Aired
1190,Tennis no Ouji-sama: Sonzoku Yama no Hi,"Adventure, Comedy, Sports, Shounen",OVA,1,7.39,14374,Production I.G,2003
1369,Detective Conan OVA 01: Conan vs. Kid vs. Yaiba,"Adventure, Mystery, Comedy, Shounen",OVA,1,7.25,16544,TMS Entertainment,2000
1503,Mahou Shoujo Pretty Sammy Specials,"Adventure, Comedy, Fantasy, Magic, Parody, Seinen",Special,7,6.26,1363,Unknown,1997
1979,Tobira wo Akete (1995),"Dementia, Fantasy",OVA,1,6.03,3445,Studio 4°C,1995
1993,Hanoka Recap,Sci-Fi,Special,1,4.46,750,Unknown,2006
2290,Superflat Monogram,"Adventure, Fantasy",Special,1,6.51,6955,Toei Animation,2003
2428,Tanpen Unico: Kuroi Kumo to Shiroi Hane,"Adventure, Kids, Fantasy",OVA,1,6.27,1176,Unknown,1979
2512,Detective Conan OVA 02: 16 Suspects,"Adventure, Mystery, Comedy, Police, Shounen",OVA,1,7.33,13721,TMS Entertainment,2002
2513,Detective Conan OVA 03: Conan and Heiji and the Vanished Boy,"Adventure, Mystery, Comedy, Police, Shounen",OVA,1,7.2,12887,TMS Entertainment,2003
2514,Detective Conan OVA 04: Conan and Kid and Crystal Mother,"Adventure, Mystery, Police, Shounen",OVA,1,7.52,14452,TMS Entertainment,2004
2515,Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation,"Adventure, Mystery, Comedy, Police, Shounen",OVA,1,7.26,11850,TMS Entertainment,2005
3624,Seimei no Kagaku: Micro Patrol,Adventure,OVA,26,7.17,2049,Eiken,1986
3684,Dimension Loop,Sci-Fi,OVA,1,5.62,2607,Studio 4°C,2001
3743,Murder,"Parody, Mystery, Vampire",Movie,1,5.36,1644,Unknown,1964
3849,The SoulTaker: Tamashii-gari - Komugi Daisakusen,Comedy,Special,3,5.88,1653,Tatsunoko Production,2001
3884,Maze☆Bakunetsu Jikuu: Hot Springs,"Action, Comedy, Ecchi, Fantasy",Special,1,6.2,995,Unknown,1998
3930,Issunboushi no Shusse,Supernatural,Movie,1,4.66,1117,Unknown,1929
3960,Armored Core: Fort Tower Song,"Action, Mecha, Sci-Fi",ONA,1,4.78,1299,Unknown,2006
4085,Yonimo Osoroshii Grimm Douwa,"Dementia, Horror, Psychological",OVA,3,6.07,1107,Group TAC,2000
4095,Chuumon no Ooi Ryouriten (1991),"Horror, Supernatural, Fantasy",Movie,1,6.25,4117,Unknown,1991
4096,Mizu no Tane,Historical,Movie,1,5.69,289,Unknown,1975
4099,Appaga Piryohae,Fantasy,Movie,1,6.31,975,Unknown,2005
4162,Taiho Shichau zo: Nagisa no Koutsuu Yuudou,"Action, Police, Comedy, Seinen",Special,1,7.08,3974,Studio Deen,1997
4190,Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special,"Fantasy, Comedy, Shoujo",Special,1,6.62,1296,Unknown,2008
4218,Niji ni Mukatte,"Romance, Historical",Movie,1,5.78,326,Unknown,1977
4396,Osaru no Kantai,"Military, Music",Movie,1,4.61,943,Unknown,1936
4418,Catman Series II,"Comedy, Fantasy, Slice of Life",ONA,8,6.26,1041,Unknown,2002
4419,Catman,"Slice of Life, Fantasy, Comedy",ONA,7,6.08,2210,Unknown,2002
4420,Vampiyan Kids: Pilot,"Action, Comedy, Kids, Vampire",Special,1,6.09,940,Production I.G,1999
4461,Kouchou-sensei to Kujira,Drama,Movie,1,6.11,1902,Unknown,2007
4462,Tairiki Tarou no Mucha Shuugyou,Action,Movie,1,4.78,1280,Unknown,1928
4467,Universe,"Fantasy, Music",Music,1,6.5,1931,Production I.G,2007
4660,Yoshino no Hime,"Comedy, Fantasy, Historical, Slice of Life",ONA,1,5.84,498,Unknown,2005
5085,Nakedyouth,"Slice of Life, Sports, Romance, Shounen Ai",ONA,1,5.84,6475,Unknown,2006
5101,Doutei Kawaiya,Hentai,ONA,1,5.27,1163,Unknown,2003
5158,Noisy Birth,"Dementia, Music",Music,1,4.75,4494,Unknown,2000
5225,Lupin III: Pilot Film,"Action, Comedy, Seinen",Movie,1,6.4,7451,Unknown,1969
5270,All That Gundam,"Action, Sci-Fi, Mecha",Special,1,5.8,4422,Sunrise,1989
5299,Coffee Tadaiku,Slice of Life,Movie,1,5.08,724,Unknown,2011
5415,La Rose de Versailles,"Military, Slice of Life, Historical, Drama, Romance",Special,1,5.7,2957,Toei Animation,2007
5466,Mahoutsukai Tai! vs. Shamanic Princess,"Comedy, Magic, Fantasy",OVA,1,5.84,1341,Unknown,1998
5469,Birthday Boy,"Action, Military, Historical, Drama",Movie,1,5.9,1598,Unknown,2004
5472,Kokoro Toshokan: Communication Clips,"Comedy, Drama, Slice of Life",Special,1,5.76,665,Unknown,2002
5624,Biohazard 4D-Executer,"Action, Adventure, Military, Horror",Special,1,5.51,3696,Unknown,2000
