MAL_ID,Name,Score,Genres,English name,Japanese name,Type,Episodes,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
1190,Tennis no Ouji-sama: Sonzoku Yama no Hi,7.39,"Adventure, Comedy, Sports, Shounen",Prince of Tennis:A Day of the Survival Mountain,テニスの王子:存続山の日,OVA,1,2003,Unknown,Unknown,Unknown,Production I.G,Manga,30 min.,PG-13 - Teens 13 or older,1934,4228,14374,48,136,12176,76,94,1892,822,1014,1752,2367,1184,463,125,38,19,16
1369,Detective Conan OVA 01: Conan vs. Kid vs. Yaiba,7.25,"Adventure, Mystery, Comedy, Shounen",Unknown,名探偵コナン:Conan VS KID VS YAIBA,OVA,1,2000,Unknown,Unknown,Unknown,TMS Entertainment,Manga,24 min.,PG-13 - Teens 13 or older,2567,3982,16544,15,198,14112,122,118,1994,951,1023,1833,2647,1509,662,207,77,46,31
1503,Mahou Shoujo Pretty Sammy Specials,6.26,"Adventure, Comedy, Fantasy, Magic, Parody, Seinen",Magical Project S Specials,魔法少女プリティサミー(1996),Special,7,1997,Unknown,"APPP, Pioneer LDC, Studio Tulip",Geneon Entertainment USA,Unknown,Unknown,3 min. per ep.,PG - Children,7100,9801,1363,2,45,628,33,49,608,21,16,44,103,87,78,24,6,11,7
1979,Tobira wo Akete (1995),6.03,"Dementia, Fantasy",Unknown,トビラを開けて,OVA,1,1995,Unknown,Unknown,Unknown,Studio 4°C,Unknown,11 min.,G - All Ages,8082,7477,3445,2,66,2343,27,43,966,39,50,177,413,488,332,139,51,31,25
1993,Hanoka Recap,4.46,Sci-Fi,Unknown,HANOKA～葉ノ香～,Special,1,2006,Unknown,RAMS,Unknown,Unknown,Unknown,10 min.,PG-13 - Teens 13 or older,10919,11120,750,0,16,530,21,36,147,9,Unknown,12,22,36,73,53,48,52,94
2290,Superflat Monogram,6.51,"Adventure, Fantasy",Unknown,すーぱーふらっと・ものぐらむ,Special,1,2003,Unknown,Unknown,Unknown,Toei Animation,Original,5 min.,G - All Ages,5838,5691,6955,2,74,5485,32,37,1327,155,242,639,1057,864,588,188,102,53,35
2428,Tanpen Unico: Kuroi Kumo to Shiroi Hane,6.27,"Adventure, Kids, Fantasy",Unknown,短編ユニコ 黒い雲と白い羽,OVA,1,1979,Unknown,Sanrio,Unknown,Unknown,Manga,26 min.,G - All Ages,7027,10104,1176,2,32,725,12,51,356,22,22,48,137,127,85,22,15,7,4
2512,Detective Conan OVA 02: 16 Suspects,7.33,"Adventure, Mystery, Comedy, Police, Shounen",Unknown,名探偵コナン 16人の容疑者!?,OVA,1,2002,Unknown,Unknown,Unknown,TMS Entertainment,Manga,25 min.,PG-13 - Teens 13 or older,2196,4309,13721,11,142,11494,110,107,1868,778,744,1579,2315,1141,457,120,42,18,20
2513,Detective Conan OVA 03: Conan and Heiji and the Vanished Boy,7.2,"Adventure, Mystery, Comedy, Police, Shounen",Unknown,名探偵コナン:コナンと平次と消えた少年,OVA,1,2003,Unknown,Shogakukan-Shueisha Productions,Unknown,TMS Entertainment,Manga,25 min.,PG-13 - Teens 13 or older,2773,4426,12887,3,137,10772,112,103,1763,677,599,1347,2168,1147,514,147,42,14,22
2514,Detective Conan OVA 04: Conan and Kid and Crystal Mother,7.52,"Adventure, Mystery, Police, Shounen",Unknown,名探偵コナン:コナンとキッドとクリスタルマザー,OVA,1,2004,Unknown,Unknown,Unknown,TMS Entertainment,Manga,25 min.,PG-13 - Teens 13 or older,1510,4218,14452,5,175,12040,121,113,2003,876,935,1897,2274,974,344,98,29,12,23
2515,Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation,7.26,"Adventure, Mystery, Comedy, Police, Shounen",Unknown,名探偵コナン 標的は小五郎!!少年探偵団マル秘調査,OVA,1,2005,Unknown,Unknown,Unknown,TMS Entertainment,Manga,23 min.,PG-13 - Teens 13 or older,2534,4583,11850,4,104,9769,105,106,1766,621,573,1275,1917,1013,414,104,51,11,18
3624,Seimei no Kagaku: Micro Patrol,7.17,Adventure,Once Upon a Time... Life,生命の科学ミクロパトロール,OVA,26,1986,Unknown,Procidis,Unknown,Eiken,Unknown,25 min. per ep.,G - All Ages,2883,8779,2049,5,50,1492,52,101,354,97,102,242,306,165,90,20,11,1,5
3684,Dimension Loop,5.62,Sci-Fi,Unknown,次元ループ,OVA,1,2001,Unknown,Unknown,Unknown,Studio 4°C,Original,4 min.,PG-13 - Teens 13 or older,9352,8156,2607,2,36,1655,26,33,857,30,31,79,230,276,240,126,79,39,44
3743,Murder,5.36,"Parody, Mystery, Vampire",Murder,殺人,Movie,1,1964,Unknown,Unknown,Unknown,Unknown,Unknown,9 min.,PG-13 - Teens 13 or older,10005,9330,1644,2,27,1276,12,45,284,53,35,61,152,155,187,89,67,77,84
3849,The SoulTaker: Tamashii-gari - Komugi Daisakusen,5.88,Comedy,Unknown,The SoulTaker 〜魂狩〜 小麦大作戦,Special,3,2001,Unknown,Unknown,Unknown,Tatsunoko Production,Original,4 min. per ep.,PG-13 - Teens 13 or older,8597,9305,1653,0,46,840,35,42,690,15,23,61,123,106,99,47,31,28,12
3884,Maze☆Bakunetsu Jikuu: Hot Springs,6.2,"Action, Comedy, Ecchi, Fantasy",Maze:The Mega-Burst Space - Hot Springs,MAZE☆爆熱時空,Special,1,1998,Unknown,Unknown,Unknown,Unknown,Manga,22 min.,Unknown,7341,10466,995,0,39,497,33,34,392,21,12,43,74,82,49,26,7,8,7
3930,Issunboushi no Shusse,4.66,Supernatural,The Tiny One Makes It Big,一寸法師ノ出世,Movie,1,1929,Unknown,Unknown,Unknown,Unknown,Original,1 min.,G - All Ages,10864,10200,1117,1,11,953,5,36,112,12,9,15,48,91,154,108,67,81,52
3960,Armored Core: Fort Tower Song,4.78,"Action, Mecha, Sci-Fi",Unknown,ARMORED CORE -FORT TOWER SONG-,ONA,1,2006,Unknown,Aniplex,Unknown,Unknown,Unknown,1 min.,PG-13 - Teens 13 or older,10754,9876,1299,1,27,543,14,35,680,7,3,7,24,49,99,79,36,31,25
4085,Yonimo Osoroshii Grimm Douwa,6.07,"Dementia, Horror, Psychological",Unknown,世にも恐ろしいグリム童話,OVA,3,2000,Unknown,Toei Video,Unknown,Group TAC,Other,20 min. per ep.,R - 17+ (violence & profanity),7928,10218,1107,2,33,246,26,54,748,9,11,20,27,39,25,15,11,4,8
